index,title,slug,tags,difficulty,related_questions
1267,Remove Zero Sum Consecutive Nodes from Linked List,remove-zero-sum-consecutive-nodes-from-linked-list,"Hash Table,Linked List",Medium,1618
1268,Market Analysis I,market-analysis-i,Database,Medium,
1269,Market Analysis II,market-analysis-ii,Database,Hard,
1270,Dinner Plate Stacks,dinner-plate-stacks,"Hash Table,Stack,Design,Heap (Priority Queue)",Hard,
1271,Web Crawler,web-crawler,"String,Depth-First Search,Breadth-First Search,Interactive",Medium,1368
1272,Invalid Transactions,invalid-transactions,"Array,Hash Table,String,Sorting",Medium,
1273,Compare Strings by Frequency of the Smallest Character,compare-strings-by-frequency-of-the-smallest-character,"Array,Hash Table,String,Binary Search,Sorting",Medium,
1274,Number of Days Between Two Dates,number-of-days-between-two-dates,"Math,String",Easy,
1275,Validate Binary Tree Nodes,validate-binary-tree-nodes,"Tree,Depth-First Search,Breadth-First Search,Union Find,Graph,Binary Tree",Medium,
1276,Closest Divisors,closest-divisors,Math,Medium,
1277,Largest Multiple of Three,largest-multiple-of-three,"Array,Dynamic Programming,Greedy",Hard,
1278,Product Price at a Given Date,product-price-at-a-given-date,Database,Medium,
1279,Prime Arrangements,prime-arrangements,Math,Easy,
1280,Diet Plan Performance,diet-plan-performance,"Array,Sliding Window",Easy,
1281,Can Make Palindrome from Substring,can-make-palindrome-from-substring,"Hash Table,String,Bit Manipulation,Prefix Sum",Medium,2165
1282,Number of Valid Words for Each Puzzle,number-of-valid-words-for-each-puzzle,"Array,Hash Table,String,Bit Manipulation,Trie",Hard,
1283,Reformat Date,reformat-date,String,Easy,
1284,Four Divisors,four-divisors,"Array,Math",Medium,
1285,Balance a Binary Search Tree,balance-a-binary-search-tree,"Divide and Conquer,Greedy,Tree,Depth-First Search,Binary Search Tree,Binary Tree",Medium,
1286,Constrained Subsequence Sum,constrained-subsequence-sum,"Array,Dynamic Programming,Queue,Sliding Window,Heap (Priority Queue),Monotonic Queue",Hard,
1287,Distance Between Bus Stops,distance-between-bus-stops,Array,Easy,
1288,Maximum Subarray Sum with One Deletion,maximum-subarray-sum-with-one-deletion,"Array,Dynamic Programming",Medium,
1289,Day of the Week,day-of-the-week,Math,Easy,
1290,Make Array Strictly Increasing,make-array-strictly-increasing,"Array,Binary Search,Dynamic Programming",Hard,
1291,Immediate Food Delivery I,immediate-food-delivery-i,Database,Easy,
1292,Immediate Food Delivery II,immediate-food-delivery-ii,Database,Medium,
1293,Three Consecutive Odds,three-consecutive-odds,Array,Easy,
1294,Range Frequency Queries,range-frequency-queries,"Array,Hash Table,Binary Search,Design,Segment Tree",Medium,
1295,Minimum Garden Perimeter to Collect Enough Apples,minimum-garden-perimeter-to-collect-enough-apples,"Math,Binary Search",Medium,
1296,Kth Ancestor of a Tree Node,kth-ancestor-of-a-tree-node,"Binary Search,Dynamic Programming,Tree,Depth-First Search,Breadth-First Search,Design",Hard,
1297,Maximum Number of Balloons,maximum-number-of-balloons,"Hash Table,String,Counting",Easy,
1298,Reverse Substrings Between Each Pair of Parentheses,reverse-substrings-between-each-pair-of-parentheses,"String,Stack",Medium,
1299,K-Concatenation Maximum Sum,k-concatenation-maximum-sum,"Array,Dynamic Programming",Medium,
1300,Critical Connections in a Network,critical-connections-in-a-network,"Depth-First Search,Graph,Biconnected Component",Hard,
1301,Reformat Department Table,reformat-department-table,Database,Easy,
1302,Delete Characters to Make Fancy String,delete-characters-to-make-fancy-string,String,Easy,
1303,Minimum Moves to Reach Target Score,minimum-moves-to-reach-target-score,"Math,Greedy",Medium,"1444,1520"
1304,Longest Happy String,longest-happy-string,"String,Greedy,Heap (Priority Queue)",Medium,778
1305,Number of Visible People in a Queue,number-of-visible-people-in-a-queue,"Array,Stack,Monotonic Stack",Hard,"1909,2227"
1306,Minimum Absolute Difference,minimum-absolute-difference,"Array,Sorting",Easy,2248
1307,Ugly Number III,ugly-number-iii,"Math,Binary Search,Number Theory",Medium,264
1308,Smallest String With Swaps,smallest-string-with-swaps,"Hash Table,String,Depth-First Search,Breadth-First Search,Union Find",Medium,"1840,2198,2327"
1309,Sort Items by Groups Respecting Dependencies,sort-items-by-groups-respecting-dependencies,"Depth-First Search,Breadth-First Search,Graph,Topological Sort",Hard,
1310,Watering Plants,watering-plants,Array,Medium,2228
1311,Largest Magic Square,largest-magic-square,"Array,Matrix,Prefix Sum",Medium,870
1312,Count Artifacts That Can Be Extracted,count-artifacts-that-can-be-extracted,"Array,Hash Table,Simulation",Medium,221
1313,Count Ways to Build Rooms in an Ant Colony,count-ways-to-build-rooms-in-an-ant-colony,"Math,Dynamic Programming,Tree,Graph,Topological Sort,Combinatorics",Hard,
1316,Fizz Buzz Multithreaded,fizz-buzz-multithreaded,Concurrency,Medium,"412,1216"
1317,Monthly Transactions I,monthly-transactions-i,Database,Medium,1328
1318,Tournament Winners,tournament-winners,Database,Hard,
1319,Unique Number of Occurrences,unique-number-of-occurrences,"Array,Hash Table",Easy,
1320,Remove All Adjacent Duplicates in String II,remove-all-adjacent-duplicates-in-string-ii,"String,Stack",Medium,"1128,2307"
1321,Get Equal Substrings Within Budget,get-equal-substrings-within-budget,"String,Binary Search,Sliding Window,Prefix Sum",Medium,
1322,Minimum Moves to Reach Target with Rotations,minimum-moves-to-reach-target-with-rotations,"Array,Breadth-First Search,Matrix",Hard,
1324,Where Will the Ball Fall,where-will-the-ball-fall,"Array,Dynamic Programming,Depth-First Search,Matrix,Simulation",Medium,
1325,Path with Maximum Probability,path-with-maximum-probability,"Graph,Heap (Priority Queue),Shortest Path",Medium,2090
1326,Sum of Floored Pairs,sum-of-floored-pairs,"Array,Math,Binary Search,Prefix Sum",Hard,
1327,Last Person to Fit in the Bus,last-person-to-fit-in-the-bus,Database,Medium,"1439,2152,2158"
1328,Monthly Transactions II,monthly-transactions-ii,Database,Medium,1317
1329,Minimum Cost to Move Chips to The Same Position,minimum-cost-to-move-chips-to-the-same-position,"Array,Math,Greedy",Easy,1895
1330,Longest Arithmetic Subsequence of Given Difference,longest-arithmetic-subsequence-of-given-difference,"Array,Hash Table,Dynamic Programming",Medium,
1331,Path with Maximum Gold,path-with-maximum-gold,"Array,Backtracking,Matrix",Medium,
1332,Count Vowels Permutation,count-vowels-permutation,Dynamic Programming,Hard,
1333,Sort the Jumbled Numbers,sort-the-jumbled-numbers,"Array,Sorting",Medium,677
1335,Maximum Candies Allocated to K Children,maximum-candies-allocated-to-k-children,"Array,Binary Search",Medium,"907,1886,2000,2027,2188,2294"
1336,Maximum Product of the Length of Two Palindromic Substrings,maximum-product-of-the-length-of-two-palindromic-substrings,"String,Rolling Hash,Hash Function",Hard,2130
1337,Design Skiplist,design-skiplist,"Linked List,Design",Hard,"816,817,838"
1338,Queries Quality and Percentage,queries-quality-and-percentage,Database,Easy,1773
1339,Team Scores in Football Tournament,team-scores-in-football-tournament,Database,Medium,
1340,The Dining Philosophers,the-dining-philosophers,Concurrency,Medium,
1341,Split a String in Balanced Strings,split-a-string-in-balanced-strings,"String,Greedy,Counting",Easy,
1342,Queens That Can Attack the King,queens-that-can-attack-the-king,"Array,Matrix,Simulation",Medium,
1343,Dice Roll Simulation,dice-roll-simulation,"Array,Dynamic Programming",Hard,2155
1344,Maximum Equal Frequency,maximum-equal-frequency,"Array,Hash Table",Hard,
1345,Perform String Shifts,perform-string-shifts,"Array,Math,String",Easy,
1346,Maximize the Topmost Element After K Moves,maximize-the-topmost-element-after-k-moves,"Array,Greedy",Medium,134
1347,Distance to a Cycle in Undirected Graph,distance-to-a-cycle-in-undirected-graph,"Depth-First Search,Breadth-First Search,Union Find,Graph",Hard,2218
1349,Check If It Is a Straight Line,check-if-it-is-a-straight-line,"Array,Math,Geometry",Easy,
1350,Remove Sub-Folders from the Filesystem,remove-sub-folders-from-the-filesystem,"Array,String,Trie",Medium,
1351,Replace the Substring for Balanced String,replace-the-substring-for-balanced-string,"String,Sliding Window",Medium,
1352,Maximum Profit in Job Scheduling,maximum-profit-in-job-scheduling,"Array,Binary Search,Dynamic Programming,Sorting",Hard,"2118,2164"
1354,Find Players With Zero or One Losses,find-players-with-zero-or-one-losses,"Array,Hash Table,Sorting,Counting",Medium,236
1355,Minimum Deletions to Make Array Beautiful,minimum-deletions-to-make-array-beautiful,"Array,Stack,Greedy",Medium,"1770,2289"
1356,Minimum Number of Moves to Make Palindrome,minimum-number-of-moves-to-make-palindrome,"Two Pointers,String,Greedy,Binary Indexed Tree",Hard,1437
1357,Report Contiguous Dates,report-contiguous-dates,Database,Hard,"1420,1759"
1358,Find Positive Integer Solution for a Given Equation,find-positive-integer-solution-for-a-given-equation,"Math,Two Pointers,Binary Search,Interactive",Medium,
1359,Circular Permutation in Binary Representation,circular-permutation-in-binary-representation,"Math,Backtracking,Bit Manipulation",Medium,
1360,Maximum Length of a Concatenated String with Unique Characters,maximum-length-of-a-concatenated-string-with-unique-characters,"Array,String,Backtracking,Bit Manipulation",Medium,
1361,Tiling a Rectangle with the Fewest Squares,tiling-a-rectangle-with-the-fewest-squares,"Dynamic Programming,Backtracking",Hard,
1362,Airplane Seat Assignment Probability,airplane-seat-assignment-probability,"Math,Dynamic Programming,Brainteaser,Probability and Statistics",Medium,
1364,Tuple with Same Product,tuple-with-same-product,"Array,Hash Table",Medium,
1366,First Unique Number,first-unique-number,"Array,Hash Table,Design,Queue,Data Stream",Medium,
1367,Maximum Height by Stacking Cuboids ,maximum-height-by-stacking-cuboids,"Array,Dynamic Programming,Sorting",Hard,2123
1368,Web Crawler Multithreaded,web-crawler-multithreaded,"Depth-First Search,Breadth-First Search,Concurrency",Medium,1271
1369,Minimum Swaps to Make Strings Equal,minimum-swaps-to-make-strings-equal,"Math,String,Greedy",Medium,1777
1370,Count Number of Nice Subarrays,count-number-of-nice-subarrays,"Array,Hash Table,Math,Sliding Window",Medium,
1371,Minimum Remove to Make Valid Parentheses,minimum-remove-to-make-valid-parentheses,"String,Stack",Medium,"2095,2221"
1372,Check If It Is a Good Array,check-if-it-is-a-good-array,"Array,Math,Number Theory",Hard,
1374,Leftmost Column with at Least a One,leftmost-column-with-at-least-a-one,"Array,Binary Search,Matrix,Interactive",Medium,
1375,Find Palindrome With Fixed Length,find-palindrome-with-fixed-length,"Array,Math",Medium,"9,564"
1377,Number of Comments per Post,number-of-comments-per-post,Database,Easy,
1378,Cells with Odd Values in a Matrix,cells-with-odd-values-in-a-matrix,"Array,Math,Simulation",Easy,
1379,Reconstruct a 2-Row Binary Matrix,reconstruct-a-2-row-binary-matrix,"Array,Greedy,Matrix",Medium,1711
1380,Number of Closed Islands,number-of-closed-islands,"Array,Depth-First Search,Breadth-First Search,Union Find,Matrix",Medium,
1381,Maximum Score Words Formed by Letters,maximum-score-words-formed-by-letters,"Array,String,Dynamic Programming,Backtracking,Bit Manipulation,Bitmask",Hard,2272
1383,Number of Single Divisor Triplets,number-of-single-divisor-triplets,Math,Medium,2301
1384,Maximum Font to Fit a Sentence in a Screen,maximum-font-to-fit-a-sentence-in-a-screen,"Array,String,Binary Search,Interactive",Medium,
1385,Number of Ways to Build House of Cards,number-of-ways-to-build-house-of-cards,"Math,Dynamic Programming",Medium,815
1386,Shift 2D Grid,shift-2d-grid,"Array,Matrix,Simulation",Easy,
1387,Find Elements in a Contaminated Binary Tree,find-elements-in-a-contaminated-binary-tree,"Hash Table,Tree,Depth-First Search,Breadth-First Search,Design,Binary Tree",Medium,
1388,Greatest Sum Divisible by Three,greatest-sum-divisible-by-three,"Array,Dynamic Programming,Greedy",Medium,
1389,Minimum Moves to Move a Box to Their Target Location,minimum-moves-to-move-a-box-to-their-target-location,"Array,Breadth-First Search,Heap (Priority Queue),Matrix",Hard,
1390,Average Selling Price,average-selling-price,Database,Easy,
1391,Counting Elements,counting-elements,"Array,Hash Table",Easy,
1392,Find the Difference of Two Arrays,find-the-difference-of-two-arrays,"Array,Hash Table",Easy,"349,350"
1393,Maximum Value of K Coins From Piles,maximum-value-of-k-coins-from-piles,"Array,Dynamic Programming,Prefix Sum",Hard,"322,518"
1395,Minimum Time Visiting All Points,minimum-time-visiting-all-points,"Array,Math,Geometry",Easy,
1396,Count Servers that Communicate,count-servers-that-communicate,"Array,Depth-First Search,Breadth-First Search,Union Find,Matrix,Counting",Medium,
1397,Search Suggestions System,search-suggestions-system,"Array,String,Trie",Medium,
1398,Number of Ways to Stay in the Same Place After Some Steps,number-of-ways-to-stay-in-the-same-place-after-some-steps,Dynamic Programming,Hard,
1399,Page Recommendations,page-recommendations,Database,Medium,"2046,2097"
1400,Find Winner on a Tic Tac Toe Game,find-winner-on-a-tic-tac-toe-game,"Array,Hash Table,Matrix,Simulation",Easy,
1401,Number of Burgers with No Waste of Ingredients,number-of-burgers-with-no-waste-of-ingredients,Math,Medium,
1402,Count Square Submatrices with All Ones,count-square-submatrices-with-all-ones,"Array,Dynamic Programming,Matrix",Medium,"2192,2193"
1403,Palindrome Partitioning III,palindrome-partitioning-iii,"String,Dynamic Programming",Hard,1871
1404,Print Immutable Linked List in Reverse,print-immutable-linked-list-in-reverse,"Linked List,Two Pointers,Stack,Recursion",Medium,
1405,All People Report to the Given Manager,all-people-report-to-the-given-manager,Database,Medium,
1406,Subtract the Product and Sum of Digits of an Integer,subtract-the-product-and-sum-of-digits-of-an-integer,Math,Easy,
1407,Group the People Given the Group Size They Belong To,group-the-people-given-the-group-size-they-belong-to,"Array,Hash Table",Medium,
1408,Find the Smallest Divisor Given a Threshold,find-the-smallest-divisor-given-a-threshold,"Array,Binary Search",Medium,2188
1409,Minimum Number of Flips to Convert Binary Matrix to Zero Matrix,minimum-number-of-flips-to-convert-binary-matrix-to-zero-matrix,"Array,Bit Manipulation,Breadth-First Search,Matrix",Hard,"2259,2268,2314"
1410,Traffic Light Controlled Intersection,traffic-light-controlled-intersection,Concurrency,Easy,
1411,Convert Binary Number in a Linked List to Integer,convert-binary-number-in-a-linked-list-to-integer,"Linked List,Math",Easy,
1413,Maximum Side Length of a Square with Sum Less than or Equal to Threshold,maximum-side-length-of-a-square-with-sum-less-than-or-equal-to-threshold,"Array,Binary Search,Matrix,Prefix Sum",Medium,
1414,Shortest Path in a Grid with Obstacles Elimination,shortest-path-in-a-grid-with-obstacles-elimination,"Array,Breadth-First Search,Matrix",Hard,550
1415,Students and Examinations,students-and-examinations,Database,Easy,
1416,Check if an Array Is Consecutive,check-if-an-array-is-consecutive,Array,Easy,"298,549,1542"
1420,Find the Start and End Number of Continuous Ranges,find-the-start-and-end-number-of-continuous-ranges,Database,Medium,"1357,1759"
1421,Find Numbers with Even Number of Digits,find-numbers-with-even-number-of-digits,Array,Easy,2215
1422,Divide Array in Sets of K Consecutive Numbers,divide-array-in-sets-of-k-consecutive-numbers,"Array,Hash Table,Greedy,Sorting",Medium,"659,2261"
1423,Maximum Number of Occurrences of a Substring,maximum-number-of-occurrences-of-a-substring,"Hash Table,String,Sliding Window",Medium,
1424,Maximum Candies You Can Get from Boxes,maximum-candies-you-can-get-from-boxes,"Array,Breadth-First Search",Hard,
1425,Weather Type in Each Country,weather-type-in-each-country,Database,Easy,
1426,Find N Unique Integers Sum up to Zero,find-n-unique-integers-sum-up-to-zero,"Array,Math",Easy,
1427,All Elements in Two Binary Search Trees,all-elements-in-two-binary-search-trees,"Tree,Depth-First Search,Binary Search Tree,Sorting,Binary Tree",Medium,
1428,Jump Game III,jump-game-iii,"Array,Depth-First Search,Breadth-First Search",Medium,"45,55,2001"
1429,Verbal Arithmetic Puzzle,verbal-arithmetic-puzzle,"Array,Math,String,Backtracking",Hard,
1431,All Ancestors of a Node in a Directed Acyclic Graph,all-ancestors-of-a-node-in-a-directed-acyclic-graph,"Depth-First Search,Breadth-First Search,Graph,Topological Sort",Medium,1912
1432,Check If a String Is a Valid Sequence from Root to Leaves Path in a Binary Tree,check-if-a-string-is-a-valid-sequence-from-root-to-leaves-path-in-a-binary-tree,"Tree,Depth-First Search,Breadth-First Search,Binary Tree",Medium,
1433,Encrypt and Decrypt Strings,encrypt-and-decrypt-strings,"Array,Hash Table,String,Design,Trie",Hard,"208,212,1949"
1434,Decrypt String from Alphabet to Integer Mapping,decrypt-string-from-alphabet-to-integer-mapping,String,Easy,
1435,XOR Queries of a Subarray,xor-queries-of-a-subarray,"Array,Bit Manipulation,Prefix Sum",Medium,
1436,Get Watched Videos by Your Friends,get-watched-videos-by-your-friends,"Array,Hash Table,Breadth-First Search,Sorting",Medium,
1437,Minimum Insertion Steps to Make a String Palindrome,minimum-insertion-steps-to-make-a-string-palindrome,"String,Dynamic Programming",Hard,1356
1438,Find the Team Size,find-the-team-size,Database,Easy,
1439,Running Total for Different Genders,running-total-for-different-genders,Database,Medium,1327
1440,Convert Integer to the Sum of Two No-Zero Integers,convert-integer-to-the-sum-of-two-no-zero-integers,Math,Easy,
1441,Minimum Flips to Make a OR b Equal to c,minimum-flips-to-make-a-or-b-equal-to-c,Bit Manipulation,Medium,2323
1442,Number of Operations to Make Network Connected,number-of-operations-to-make-network-connected,"Depth-First Search,Breadth-First Search,Union Find,Graph",Medium,
1443,Minimum Distance to Type a Word Using Two Fingers,minimum-distance-to-type-a-word-using-two-fingers,"String,Dynamic Programming",Hard,2088
1444,Number of Steps to Reduce a Number to Zero,number-of-steps-to-reduce-a-number-to-zero,"Math,Bit Manipulation",Easy,"1303,2288"
1445,Number of Sub-arrays of Size K and Average Greater than or Equal to Threshold,number-of-sub-arrays-of-size-k-and-average-greater-than-or-equal-to-threshold,"Array,Sliding Window",Medium,2211
1446,Angle Between Hands of a Clock,angle-between-hands-of-a-clock,Math,Medium,
1447,Jump Game IV,jump-game-iv,"Array,Hash Table,Breadth-First Search",Hard,2001
1448,Maximum 69 Number,maximum-69-number,"Math,Greedy",Easy,
1449,Print Words Vertically,print-words-vertically,"Array,String,Simulation",Medium,
1450,Delete Leaves With a Given Value,delete-leaves-with-a-given-value,"Tree,Depth-First Search,Binary Tree",Medium,
1451,Minimum Number of Taps to Open to Water a Garden,minimum-number-of-taps-to-open-to-water-a-garden,"Array,Dynamic Programming,Greedy",Hard,
1452,Restaurant Growth,restaurant-growth,Database,Medium,
1453,Ads Performance,ads-performance,Database,Easy,
1454,Remove Palindromic Subsequences,remove-palindromic-subsequences,"Two Pointers,String",Easy,
1455,"Filter Restaurants by Vegan-Friendly, Price and Distance",filter-restaurants-by-vegan-friendly-price-and-distance,"Array,Sorting",Medium,
1456,Find the City With the Smallest Number of Neighbors at a Threshold Distance,find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance,"Dynamic Programming,Graph,Shortest Path",Medium,2171
1457,Minimum Difficulty of a Job Schedule,minimum-difficulty-of-a-job-schedule,"Array,Dynamic Programming",Hard,
1458,Sort Integers by The Number of 1 Bits,sort-integers-by-the-number-of-1-bits,"Array,Bit Manipulation,Sorting,Counting",Easy,2204
1459,Apply Discount Every n Orders,apply-discount-every-n-orders,"Array,Hash Table,Design",Medium,
1460,Number of Substrings Containing All Three Characters,number-of-substrings-containing-all-three-characters,"Hash Table,String,Sliding Window",Medium,2187
1461,Count All Valid Pickup and Delivery Options,count-all-valid-pickup-and-delivery-options,"Math,Dynamic Programming,Combinatorics",Hard,
1462,List the Products Ordered in a Period,list-the-products-ordered-in-a-period,Database,Easy,
1463,The K Weakest Rows in a Matrix,the-k-weakest-rows-in-a-matrix,"Array,Binary Search,Sorting,Heap (Priority Queue),Matrix",Easy,
1464,Reduce Array Size to The Half,reduce-array-size-to-the-half,"Array,Hash Table,Greedy,Sorting,Heap (Priority Queue)",Medium,
1465,Maximum Product of Splitted Binary Tree,maximum-product-of-splitted-binary-tree,"Tree,Depth-First Search,Binary Tree",Medium,2175
1466,Jump Game V,jump-game-v,"Array,Dynamic Programming,Sorting",Hard,2001
1467,Number of Transactions per Visit,number-of-transactions-per-visit,Database,Hard,1759
1468,Check If N and Its Double Exist,check-if-n-and-its-double-exist,"Array,Hash Table,Two Pointers,Binary Search,Sorting",Easy,2274
1469,Minimum Number of Steps to Make Two Strings Anagram,minimum-number-of-steps-to-make-two-strings-anagram,"Hash Table,String,Counting",Medium,"1777,2293"
1470,Tweet Counts Per Frequency,tweet-counts-per-frequency,"Hash Table,Binary Search,Design,Sorting,Ordered Set",Medium,
1471,Maximum Students Taking Exam,maximum-students-taking-exam,"Array,Dynamic Programming,Bit Manipulation,Matrix,Bitmask",Hard,
1472,Increasing Decreasing String,increasing-decreasing-string,"Hash Table,String,Counting",Easy,
1473,Find the Longest Substring Containing Vowels in Even Counts,find-the-longest-substring-containing-vowels-in-even-counts,"Hash Table,String,Bit Manipulation,Prefix Sum",Medium,
1474,Longest ZigZag Path in a Binary Tree,longest-zigzag-path-in-a-binary-tree,"Dynamic Programming,Tree,Depth-First Search,Binary Tree",Medium,
1475,Maximum Sum BST in Binary Tree,maximum-sum-bst-in-binary-tree,"Dynamic Programming,Tree,Depth-First Search,Binary Search Tree,Binary Tree",Hard,
1476,Count Negative Numbers in a Sorted Matrix,count-negative-numbers-in-a-sorted-matrix,"Array,Binary Search,Matrix",Easy,
1477,Product of the Last K Numbers,product-of-the-last-k-numbers,"Array,Math,Design,Queue,Data Stream",Medium,
1478,Maximum Number of Events That Can Be Attended,maximum-number-of-events-that-can-be-attended,"Array,Greedy,Heap (Priority Queue)",Medium,"1851,2118"
1479,Construct Target Array With Multiple Sums,construct-target-array-with-multiple-sums,"Array,Heap (Priority Queue)",Hard,
1480,Movie Rating,movie-rating,Database,Medium,
1481,Students With Invalid Departments,students-with-invalid-departments,Database,Easy,
1482,How Many Numbers Are Smaller Than the Current Number,how-many-numbers-are-smaller-than-the-current-number,"Array,Hash Table,Sorting,Counting",Easy,315
1483,Rank Teams by Votes,rank-teams-by-votes,"Array,Hash Table,String,Sorting,Counting",Medium,947
1484,Linked List in Binary Tree,linked-list-in-binary-tree,"Linked List,Tree,Depth-First Search,Breadth-First Search,Binary Tree",Medium,
1485,Minimum Cost to Make at Least One Valid Path in a Grid,minimum-cost-to-make-at-least-one-valid-path-in-a-grid,"Array,Breadth-First Search,Graph,Heap (Priority Queue),Matrix,Shortest Path",Hard,2321
1486,Find the Distance Value Between Two Arrays,find-the-distance-value-between-two-arrays,"Array,Two Pointers,Binary Search,Sorting",Easy,
1487,Cinema Seat Allocation,cinema-seat-allocation,"Array,Hash Table,Greedy,Bit Manipulation",Medium,
1488,Sort Integers by The Power Value,sort-integers-by-the-power-value,"Dynamic Programming,Memoization,Sorting",Medium,
1489,Pizza With 3n Slices,pizza-with-3n-slices,"Array,Dynamic Programming,Greedy,Heap (Priority Queue)",Hard,
1490,Generate a String With Characters That Have Odd Counts,generate-a-string-with-characters-that-have-odd-counts,String,Easy,
1491,Number of Times Binary String Is Prefix-Aligned,number-of-times-binary-string-is-prefix-aligned,Array,Medium,"319,672"
1492,Time Needed to Inform All Employees,time-needed-to-inform-all-employees,"Tree,Depth-First Search,Breadth-First Search",Medium,"104,124"
1493,Frog Position After T Seconds,frog-position-after-t-seconds,"Tree,Depth-First Search,Breadth-First Search,Graph",Hard,
1494,Activity Participants,activity-participants,Database,Medium,
1495,Number of Trusted Contacts of a Customer,number-of-trusted-contacts-of-a-customer,Database,Medium,
1496,Lucky Numbers in a Matrix,lucky-numbers-in-a-matrix,"Array,Matrix",Easy,
1497,Design a Stack With Increment Operation,design-a-stack-with-increment-operation,"Array,Stack,Design",Medium,
1498,Find a Corresponding Node of a Binary Tree in a Clone of That Tree,find-a-corresponding-node-of-a-binary-tree-in-a-clone-of-that-tree,"Tree,Depth-First Search,Breadth-First Search,Binary Tree",Medium,
1499,Maximum Performance of a Team,maximum-performance-of-a-team,"Array,Greedy,Sorting,Heap (Priority Queue)",Hard,2229
1500,Count Largest Group,count-largest-group,"Hash Table,Math",Easy,
1501,Circle and Rectangle Overlapping,circle-and-rectangle-overlapping,"Math,Geometry",Medium,
1502,Construct K Palindrome Strings,construct-k-palindrome-strings,"Hash Table,String,Greedy,Counting",Medium,
1503,Reducing Dishes,reducing-dishes,"Array,Dynamic Programming,Greedy,Sorting",Hard,
1504,Get the Second Most Recent Activity,get-the-second-most-recent-activity,Database,Hard,
1505,Create Target Array in the Given Order,create-target-array-in-the-given-order,"Array,Simulation",Easy,
1507,Check if There is a Valid Path in a Grid,check-if-there-is-a-valid-path-in-a-grid,"Array,Depth-First Search,Breadth-First Search,Union Find,Matrix",Medium,
1508,Longest Happy Prefix,longest-happy-prefix,"String,Rolling Hash,String Matching,Hash Function",Hard,2326
1509,Replace Employee ID With The Unique Identifier,replace-employee-id-with-the-unique-identifier,Database,Easy,
1510,Find Lucky Integer in an Array,find-lucky-integer-in-an-array,"Array,Hash Table,Counting",Easy,
1511,Count Number of Teams,count-number-of-teams,"Array,Dynamic Programming,Binary Indexed Tree",Medium,
1512,Design Underground System,design-underground-system,"Hash Table,String,Design",Medium,2285
1513,Find All Good Strings,find-all-good-strings,"String,Dynamic Programming,String Matching",Hard,
1514,Minimum Value to Get Positive Step by Step Sum,minimum-value-to-get-positive-step-by-step-sum,"Array,Prefix Sum",Easy,
1515,Find the Minimum Number of Fibonacci Numbers Whose Sum Is K,find-the-minimum-number-of-fibonacci-numbers-whose-sum-is-k,Greedy,Medium,
1516,The k-th Lexicographical String of All Happy Strings of Length n,the-k-th-lexicographical-string-of-all-happy-strings-of-length-n,"String,Backtracking",Medium,
1517,Restore The Array,restore-the-array,"String,Dynamic Programming",Hard,2091
1518,Total Sales Amount by Year,total-sales-amount-by-year,Database,Hard,
1519,Minimum Subsequence in Non-Increasing Order,minimum-subsequence-in-non-increasing-order,"Array,Greedy,Sorting",Easy,2316
1520,Number of Steps to Reduce a Number in Binary Representation to One,number-of-steps-to-reduce-a-number-in-binary-representation-to-one,"String,Bit Manipulation",Medium,1303
1522,Stone Game III,stone-game-iii,"Array,Math,Dynamic Programming,Game Theory",Hard,"1685,1788,1808,2002,2156"
1523,Capital Gain/Loss,capital-gainloss,Database,Medium,
1524,String Matching in an Array,string-matching-in-an-array,"String,String Matching",Easy,
1525,Queries on a Permutation With Key,queries-on-a-permutation-with-key,"Array,Binary Indexed Tree,Simulation",Medium,
1526,HTML Entity Parser,html-entity-parser,"Hash Table,String",Medium,
1527,Number of Ways to Paint N × 3 Grid,number-of-ways-to-paint-n-3-grid,Dynamic Programming,Hard,2061
1528,Kids With the Greatest Number of Candies,kids-with-the-greatest-number-of-candies,Array,Easy,
1529,Max Difference You Can Get From Changing an Integer,max-difference-you-can-get-from-changing-an-integer,"Math,Greedy",Medium,
1530,Check If a String Can Break Another String,check-if-a-string-can-break-another-string,"String,Greedy,Sorting",Medium,
1531,Number of Ways to Wear Different Hats to Each Other,number-of-ways-to-wear-different-hats-to-each-other,"Array,Dynamic Programming,Bit Manipulation,Bitmask",Hard,2105
1532,Reformat The String,reformat-the-string,String,Easy,
1533,Display Table of Food Orders in a Restaurant,display-table-of-food-orders-in-a-restaurant,"Array,Hash Table,String,Sorting,Ordered Set",Medium,
1534,Minimum Number of Frogs Croaking,minimum-number-of-frogs-croaking,"String,Counting",Medium,
1535,Build Array Where You Can Find The Maximum Exactly K Comparisons,build-array-where-you-can-find-the-maximum-exactly-k-comparisons,Dynamic Programming,Hard,
1536,Customers Who Bought Products A and B but Not C,customers-who-bought-products-a-and-b-but-not-c,Database,Medium,
1537,Maximum Score After Splitting a String,maximum-score-after-splitting-a-string,String,Easy,
1538,Maximum Points You Can Obtain from Cards,maximum-points-you-can-obtain-from-cards,"Array,Sliding Window,Prefix Sum",Medium,"1896,2212"
1539,Diagonal Traverse II,diagonal-traverse-ii,"Array,Sorting,Heap (Priority Queue)",Medium,
1541,Top Travellers,top-travellers,Database,Easy,
1542,Consecutive Characters,consecutive-characters,String,Easy,"485,1416,1885,2319"
